"success","timeout","failed_images","failed_audio","failed_video","phase","experiment_trial_type","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","matrix_size","transition_matrix","conditional_entropies","sequence","trials_per_block","total_trials","practice_trials","rt","view_history","stimulus","response","position","correct_key","correct","block","trial_in_block","overall_trial","question_order","questionnaire_item"
"true","false","[]","[]","[]","preload","preload","preload","0","862","0.0-0.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","","","","","","","","","","","",""
"true","","","","","fullscreen","fullscreen","fullscreen","1","6332","0.0-1.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","4460","","","","","","","","","","",""
"","","","","","instructions","instructions","instructions","2","152007","0.0-2.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","145672","[{""page_index"":0,""viewing_time"":23013},{""page_index"":1,""viewing_time"":76682},{""page_index"":2,""viewing_time"":39192},{""page_index"":3,""viewing_time"":6784}]","","","","","","","","","",""
"","","","","","practice","stimulus","html-keyboard-response","3","154207","0.0-3.0-0.0-0.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","2198","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box active"" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""3""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-4pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","f","1","f","true","","","","",""
"","","","","","practice","feedback","html-keyboard-response","4","154417","0.0-3.0-0.0-1.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box active"" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""3""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-4pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","practice","rsi","html-keyboard-response","5","154550","0.0-3.0-1.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""3""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-4pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","practice","stimulus","html-keyboard-response","6","155219","0.0-4.0-0.0-0.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","666","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box active"" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""3""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-4pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","j","2","j","true","","","","",""
"","","","","","practice","feedback","html-keyboard-response","7","155433","0.0-4.0-0.0-1.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box active"" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""3""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-4pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","practice","rsi","html-keyboard-response","8","155566","0.0-4.0-1.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""3""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-4pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","practice","stimulus","html-keyboard-response","9","156104","0.0-5.0-0.0-0.0","P_d232cdc08347950b409ee14fd2637d7c719f23ca35ed2ebaa5839673917fa8fb","6975d475053a04ec2a824d54","6975d6e5ed5452be53e382c1","4","[[0.060260165899335215,0.701326755417172,0.23841307868349276,0],[0.0000023008162070389276,0,0.027367528309657305,0.9726301708741357],[0.35387827489883494,0.2986732967287947,0.3474484283723703,0],[0.5858593039421993,0,0.3867710069645787,0.02736968909322194]]","[1.0963305126500609,0.18105958573962463,1.5809472755632945,1.1240499164293296]","[3,2,1,3,0,2,1,3,0,2,1,3,2,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,1,2,1,3,2,1,3,2,1,3,2,2,1,3,2,0,1,3,2,0,2,0,2,0,2,0,0,1,3,2,0,2,2,1,3,2,2,1,3,0,1,3,2,1,3,0,1,2,2,1,2,0,1,3,2,2,2,2,2,2,0,1,3,2,0,1,3,2,0,1,3,0,1,3,0,1,3,0,1,3,2,2,1,3,0,1,3,0,1,3,0,1,3,0,2,0,1,3,0,1,3,2,0,0,2,1,3,0,1,3,0,1,3,0,1,3,2,0,1,3,2,1,3,3,0,1,3,0,2,1,3,2,2,2,2,0,1,3,0,1,3,2,1,3,0,1,3,2,0,2,2,2,0,2,2,0,1,2,0,1,3,0,1,3,0,1,3,0,2,2,0,1,3,0,2,1,3,2,0,0,1,3,2,1,3,0,1,3,2,1,3,0,1,3,2,0,1,3,0,1,3,0,0,1,3,2,1,3,2,1,3,0,0,1,3,0,0,1,3,2,0,1,3,0,1,3,2,1,3,2,1,3,0,1,3,2,0,2,0,2,2,2,2,0,0,1,3,0,1]","40","280","8","537","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""3""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-4pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","d","0","d","true","","","","",""
