"success","timeout","failed_images","failed_audio","failed_video","phase","experiment_trial_type","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","matrix_size","transition_matrix","conditional_entropies","sequence","trials_per_block","total_trials","practice_trials","rt","view_history","stimulus","response","position","correct_key","correct","block","trial_in_block","overall_trial","question_order","questionnaire_item"
"true","false","[]","[]","[]","preload","preload","preload","0","351","0.0-0.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","","","","","","","","","","","",""
"true","","","","","fullscreen","fullscreen","fullscreen","1","2868","0.0-1.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","1514","","","","","","","","","","",""
"","","","","","instructions","instructions","instructions","2","33427","0.0-2.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","30558","[{""page_index"":0,""viewing_time"":11547},{""page_index"":1,""viewing_time"":12629},{""page_index"":2,""viewing_time"":5245},{""page_index"":3,""viewing_time"":1137}]","","","","","","","","","",""
"","","","","","practice","stimulus","html-keyboard-response","3","35144","0.0-3.0-0.0-0.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","1716","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","l","0","s","false","","","","",""
"","","","","","practice","feedback","html-keyboard-response","4","35356","0.0-3.0-0.0-1.0","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""><div class=""feedback-error"">✗<br>Try again!</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","practice","retry","html-keyboard-response","5","35628","0.0-3.0-0.1-0.1","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","271","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","l","0","s","false","","","","",""
"","","","","","practice","feedback","html-keyboard-response","6","35831","0.0-3.0-0.1-1.1","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""><div class=""feedback-error"">✗<br>Try again!</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","practice","retry","html-keyboard-response","7","36060","0.0-3.0-0.2-0.2","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","228","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>"," ","0","s","false","","","","",""
"","","","","","practice","feedback","html-keyboard-response","8","36263","0.0-3.0-0.2-1.2","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","null","","<div class=""feedback-message""><div class=""feedback-error"">✗<br>Try again!</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","",""
"","","","","","practice","retry","html-keyboard-response","9","36745","0.0-3.0-0.3-0.3","ryb4m30t6j","5","[[2.2810200821347542e-12,3.9538476741810906e-13,0.9825839587255226,2.9386389293618804e-8,0.017416011885411743],[0.7969164797561713,3.6481581356842484e-13,0,0.026421846928536295,0.17666167331492752],[3.2885474652985434e-12,0.4831041495863661,4.741668439306562e-12,0.2571482015480124,0.2597476488575913],[1.995939108510658e-12,0.4831098941010826,1.0877792280166039e-11,0.2571435213548588,0.2597465845311848],[0.2030842083988753,0.033786647393713225,0.01741338428087338,0.4592870624592545,0.28642869746728356]]","[0.12667614577183756,0.8413164910598776,1.5160625724021144,1.5160573619183269,1.766160826711344]","[2,1,0,2,4,0,2,1,0,2,1,0,2,1,0,2,3,1,0,2,1,0,2,4,4,0,2,1,4,3,1,0,2,1,0,2,3,1,0,2,1,0,2,3,4,3,3,3,1,0,2,1,0,2,3,1,0,2,3,3,4,4,3,1,4,3,4,4,4,3,4,0,2,1,0,2,1,0,2,1,0,2,4,3,4,3,4,3,1,0,2,1,0,2,3,1,0,2,3,1,0,2,1,0,2,3,4,3,1,0,2,4,4,3,3,4,3,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,4,3,1,0,2,1,0,2,1,4,0,2,4,1,0,2,1,0,2,1,0,2,1,0,2,1,4,3,4,3,3,3,4,4,3,1,3,3,4,4,3,1,0,2,1,0,2,3,3,1,0,2,1,4,0,2,1,0,2,3,1,0,2,3,4,3,4,4,3,1,0,2,1,0,2,4,3,4,3,1,3,1,0,2,1,0,2,1,0,2,1,0,2,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,1,0,2,3,1,0,2,1,0,2,4,3,1,0,2,3,3,1,0,2,3,4,3,1,4,3,1,0,2,1,0,2,4,4,3,4,3,1,0,2,3,1,0,2,1,4,3,1,0,2,1,0,2,4,2,1,0,2,1,4,3,1,0,2,4,3,4,4,0,2,3,1,4,3,4,2,3,3,3,3,3,1,0,2,4,3,1,0,2,1,0,2,4,3,3,1,0,2,3,1,0,2,3,4,4,3,4,3,4,4]","50","350","10","481","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box active"" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""4""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-5pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","j","0","s","false","","","","",""
